Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:00.000,00:04:57.000,0.75,11,2,0:06:41  ,0:06:37  ,0:01:01  ,156.9375,167.0,92.67999877929688,136.0,150.0,31,56
2,00:05:00.000,00:05:00.000,0.91,4,4,0:05:30  ,0:05:30  ,0:03:58  ,164.6875,168.0,106.30000000000001,149.0,161.0,30,63
3,00:03:53.774,00:03:53.774,1,5,1,0:03:53  ,0:03:53  ,0:03:47  ,178.65625,193.0,134.05999755859375,176.0,180.0,29,62
4,00:04:04.109,00:04:04.109,1,4,5,0:04:04  ,0:04:04  ,0:03:53  ,174.9375,179.0,138.7300048828125,180.0,184.0,28,66
5,00:04:09.963,00:04:09.963,1,4,7,0:04:09  ,0:04:09  ,0:03:43  ,173.515625,176.0,134.44000244140625,183.0,186.0,28,67
6,00:04:20.399,00:04:20.000,1,4,7,0:04:20  ,0:04:20  ,0:03:56  ,172.09375,175.0,128.85,183.0,186.0,29,68
7,00:03:33.391,00:03:32.000,0.77,4,2,0:04:38  ,0:04:36  ,0:04:08  ,171.828125,175.0,125.39000244140625,185.0,189.0,30,57
8,00:05:00.000,00:04:57.000,0.83,5,5,0:06:01  ,0:05:58  ,0:04:23  ,161.734375,166.0,101.92000122070313,170.0,184.0,31,67
9,00:05:00.000,00:05:00.000,0.82,3,2,0:06:07  ,0:06:07  ,0:04:40  ,161.609375,164.0,101.15,170.0,174.0,31,65
10,00:04:42.979,00:04:42.979,0.74,9,4,0:06:21  ,0:06:21  ,0:05:23  ,160.421875,163.0,94.89000244140625,168.0,172.0,31,62
Summary,00:44:44.615,00:44:36.825,8.81,52,38,0:05:04  ,0:05:03  ,0:01:01  ,166.953125,193.0,114.75,169.0,189.0,29.89,633
